ID,BUGCOUNT,ELEMENTID,ELEMENTKIND,MAJORCONTRIBUTOR,MINORCONTRIBUTOR,NAME,OWNERID,OWNERSHIP
40,19,1,4,3,133,advapi32,2,0.1354378818737271
65,2,2,4,2,36,advpack,17071,0.5210526315789473
50,6,3,4,3,23,amstream,9167,0.47297297297297297
41,5,4,4,4,32,atl,14815,0.23381294964028776
52,26,5,4,4,69,cmd,5203,0.33405172413793105
39,112,6,4,3,292,comctl32,45905,0.14873054873054872
93,16,7,4,6,100,comdlg32,2,0.1700404858299595
44,10,8,4,1,81,crypt32,12681,0.6886094674556213
16,5,9,4,2,59,dbghelp,190,0.6413649025069638
87,421,10,4,2,162,directx-d3d,50258,0.44156757073399333
13,2,13,4,4,21,directx-d3dxof,9167,0.5897435897435898
34,29,14,4,3,89,directx-dinput,12195,0.32590529247910865
46,27,15,4,5,36,directx-dmusic,2,0.2806018706791379
19,12,16,4,4,58,directx-dplay,2,0.25984251968503935
70,37,17,4,6,79,directx-dsound,12084,0.3084848484848485
54,0,18,4,5,9,dnsapi,12519,0.43636363636363634
27,20,19,4,2,55,dos,2,0.3788546255506608
22,30,20,4,5,16,fonts,10557,0.24444444444444444
12,2,21,4,5,18,fusion,17071,0.27053140096618356
72,3,22,4,3,10,gameux,70652,0.5424836601307189
2,46,23,4,3,99,gdi32,2,0.5526169265033407
69,66,24,4,5,55,gdiplus,40248,0.24684044233807267
80,1,25,4,5,65,hhctrl.ocx,35659,0.2126865671641791
35,1,26,4,4,31,iccvid,6949,0.2677595628415301
67,16,27,4,2,12,ieframe,14815,0.7921146953405018
83,2,28,4,3,38,imagehlp,2,0.33480176211453744
14,1,29,4,5,0,inkobj,34487,0.38095238095238093
6,3,30,4,4,49,iphlpapi,12681,0.24766355140186916
95,9,31,4,2,39,jscript,14815,0.7370620379299261
17,81,32,4,2,141,kernel32,2,0.38482311639211453
49,10,33,4,2,89,loader,2,0.6466544454628781
42,1,34,4,7,26,mlang,2,0.21428571428571427
7,14,35,4,5,15,mmdevapi,20690,0.3699186991869919
91,6,36,4,1,15,mountmgr.sys,2,0.7611940298507462
89,6,37,4,4,43,msacm32,2,0.3015075376884422
60,2,38,4,6,6,msadp32,2,0.3103448275862069
84,69,39,4,2,22,mscoree,40248,0.4429530201342282
26,102,40,4,3,106,mshtml,14815,0.739560277408883
33,52,41,4,4,132,msi,17071,0.24791473586654308
77,3,42,4,4,7,mstask,40806,0.6160714285714286
28,6,43,4,4,0,msvcirt,2,0.6818181818181818
76,3,44,4,3,15,msvcp,18017,0.8231116849580374
43,17,45,4,3,145,msvcrt,2,0.24331210191082803
8,6,46,4,4,33,msvfw32,2,0.30344827586206896
9,1,47,4,3,0,msxml4,2,0.6
21,0,48,4,4,49,netapi32,2,0.1434878587196468
85,91,49,4,1,222,ntdll,2,0.45726157499010683
66,10,50,4,6,26,ntoskrnl,2,0.18930041152263374
55,3,51,4,3,27,odbc,2,0.4645161290322581
37,37,52,4,7,171,ole32,2,0.1762820512820513
56,57,53,4,6,158,oleaut32,2,0.14892926670992862
45,3,54,4,5,2,openal32,29765,0.52
24,32,55,4,3,54,opengl,2,0.3811129848229342
68,3,56,4,3,11,pdh,12519,0.5862068965517241
20,114,57,4,3,375,programs,2,0.24130389502187044
73,3,58,4,5,13,qmgr,40806,0.4020618556701031
25,51,59,4,6,63,quartz,3949,0.2011393514460999
3,0,60,4,4,26,rasapi32,2,0.432
29,57,61,4,6,75,richedit,47174,0.33415233415233414
38,5,62,4,4,78,rpc,17037,0.28147629058631163
78,0,63,4,5,31,rsaenh,12681,0.2871046228710462
11,1,64,4,4,1,scrrun,41832,0.5087719298245614
63,10,65,4,6,37,secur32,22582,0.2688927943760984
90,13,66,4,5,121,setupapi,2,0.2
75,55,67,4,2,96,shdocvw,14815,0.4676209952283572
74,61,68,4,3,256,shell32,2,0.16254752851711027
82,2,69,4,4,128,shlwapi,2,0.1631578947368421
31,7,70,4,4,55,spooler,21259,0.2953271028037383
58,1,71,4,4,25,tapi32,2,0.3283582089552239
61,9,72,4,4,252,tools,2,0.33307104316546765
4,21,73,4,3,66,urlmon,14815,0.4304932735426009
64,127,74,4,3,148,user32,2,0.43424460431654677
92,17,75,4,3,32,usp10,4511,0.665938864628821
32,6,76,4,6,27,uxtheme,14176,0.22945205479452055
79,3,77,4,2,13,vbscript,14815,0.9130434782608695
71,4,78,4,4,0,vcomp,11723,0.6341463414634146
51,3,79,4,2,24,windowscodecs,40248,0.5202769535113749
23,26,80,4,5,30,winealsa.drv,20690,0.29219143576826195
59,10,81,4,3,86,winedbg,190,0.43625644804716285
18,25,82,4,3,6,winegstreamer,4511,0.46236559139784944
1,2,83,4,1,3,winemac.drv,4544,0.9807692307692307
10,0,84,4,7,10,winemp3.acm,2,0.2796610169491525
57,5,85,4,4,42,wineps.drv,2,0.47083926031294454
15,15,86,4,1,115,wineserver,2,0.686930693069307
5,91,87,4,2,98,winex11.drv,2,0.5864002804065895
48,6,88,4,3,32,winhttp,12519,0.5636363636363636
30,46,89,4,5,171,wininet,14815,0.19718804920913885
62,0,90,4,5,155,winmm&mci,2,0.2427912341407151
36,2,91,4,8,2,winscard,36684,0.21428571428571427
94,33,92,4,3,74,winsock,2,0.23493975903614459
53,6,93,4,7,14,wintab32,2,0.2857142857142857
86,3,94,4,5,26,wintrust,12681,0.45180722891566266
81,2,95,4,4,35,wldap32,12519,0.43186180422264875
47,0,96,4,2,10,wmi&wbemprox,12519,0.8766404199475065
88,2,97,4,2,10,xmllite,45905,0.7898550724637681
